485,810,A1
730,810,A2
973.56,799.344,A3
1147.776,819.84,A4
485,1045,B1
742.98,1065.792,B2
968.436,1045.296,B3
1163.148,1024.8,B4
485,1325,C1
722.484,1321.992,C2
958.188,1332.24,C3
1155,1325,C4
486.78,1598.688,D1
722.484,1588.44,D2
965,1595,D3
1155,1595,D4
485,1835,E1
717.36,1839.516,E2
973.56,1829.268,E3
1155,1835,E4
