480.4887459,967.6819858
916.2808642,878.2887308
1448.170732,851.4707543
2018.052733,847.0010915
2543.238106,811.2437895
3041.605503,842.5314288
478.2539145,1269.384222
978.8561427,1215.748269
1528.624661,1173.286472
2076.158348,1162.112316
2654.979675,1177.756135
3034.901009,1193.399955
444.7314438,1615.783085
985.5606369,1604.608928
1593.434771,1544.268481
2111.91565,1553.207806
2695.20664,1568.851626
3124.294264,1600.139265
393.3303222,1988.999925
1001.204456,1984.530262
1631.426905,1984.530262
2120.854976,2002.408913
2699.676302,2026.992058
3113.120107,2033.696552
303.9370671,2520.889792
1061.544904,2418.087549
1611.313422,2346.572945
2154.377447,2442.670694
2706.380796,2587.934734
3224.861676,2556.647094
